start,idle,oracle,never_charge,oracle_sav,nochg_sav
21771,99316.74603000001,87605.43271079313,96545.61225876302,0.11791881819878908,0.02790197909222606
21774,99251.66391,87623.74816757231,96652.38392612606,0.11715587713442992,0.02618877993048998
21777,99205.60853,87342.87396773245,96122.44753792312,0.11957725715356336,0.031078494832724377
25727,102047.55946,90065.07482753342,99625.58405647725,0.11742058992761516,0.023733790561371572
25730,102080.18943,90396.89909216706,100274.75079739973,0.11445208324034882,0.017686474159986983
25734,102113.35286,90298.16253946204,100036.11362531516,0.11570661416569966,0.020342483881934454
25738,102123.22187000001,90797.11818243389,101053.82235285727,0.110906251097169,0.010471658625342366
25740,102124.55552,90630.99986380903,100710.0949576693,0.11254448646231878,0.01385034730509738
25748,102119.75438,90708.92908202572,100875.77269653502,0.11173964691996044,0.01218159690079136
25750,102105.97333,89976.7395791676,99381.5983513658,0.11879063834621593,0.02668183740660488
25758,102071.74298,90148.47460183932,99771.79195618871,0.11681262639452457,0.02253269079829409
25770,101982.12170000002,90553.99740400426,100702.49271786778,0.11206007587892494,0.012547581485865893
25777,101922.99655,89751.1944352213,99110.90278086203,0.11942154888281387,0.02759037571818689
25780,101846.26722000001,89741.81116029136,99172.95056015853,0.11885026707519475,0.026248548256234093
25788,101624.52567999999,90344.75534670573,100650.60330644304,0.11099456807122057,0.009583536720492903
25802,101566.73418,89772.1901653194,99532.03989678345,0.11612605357358348,0.02003307775566159
25805,101564.24470000001,89519.0005066591,99012.94337783518,0.11859729010854263,0.025120073798617325
25807,101585.31636999999,89311.49097174776,98562.98762352497,0.12082282988171031,0.02975163000395564
25810,101592.69589999999,89293.80246257808,98518.71052704433,0.12106080391377734,0.03025793681055041
25816,101599.98652,90076.69148992053,100124.24331332967,0.11341827321808857,0.014525033488856146
25819,101600.25325000001,89992.10920034093,99949.66533042637,0.1142531015261921,0.016245903595458154
25823,101625.23696000001,90243.13314523007,100440.44039746988,0.11200076039429038,0.01165848757623531
30436,158153.58735,101216.1500895955,150262.93851930305,0.360013567914838,0.0498923164685138
30441,158048.42255,101580.1747097309,152723.67334804632,0.3572844760434409,0.033690619090292674
30446,157908.85325,100847.36711522785,149339.806853147,0.36135710544634797,0.05426577560718873
30456,157802.96955,101541.4589298072,153608.82332730398,0.35653011334724155,0.02657837323756515
30463,157786.12675000002,101815.49778888447,155182.75199188484,0.35472465237578654,0.01649938946939252
30471,158183.78115,101405.37139710573,151162.82077554043,0.3589395154175341,0.04438483088099811
30484,159162.92295,102309.05312480792,151729.28709057733,0.35720548964190835,0.0467045698938182
30491,159754.68035,103752.18850510693,156977.05408887367,0.3505530587410617,0.017386822439511312
30495,159930.09195,102870.9755339325,151374.0050532627,0.35677536178686287,0.05349891813613323
30499,159975.17725,103013.72385907188,151953.18918241945,0.35606432429146206,0.050145205059184024
30500,159963.46945,103484.11751165264,154577.9942386484,0.3530765626210751,0.03366690676232776
30520,159542.50215000001,103051.59753275278,154093.84773377294,0.3540805983106316,0.034151742280588725
30524,159493.41155000002,102326.02603215988,150345.22339070088,0.3584310158160896,0.05735778092897117
30525,159461.57455000002,102417.53297774697,150987.92884755845,0.35772907506545776,0.053139107188387984
30530,159354.86925000002,102267.28010422559,150643.0708997451,0.35824188752095143,0.05466916945341422
30543,158995.93275,103302.29183094214,155006.13473847214,0.3502834315053123,0.025093711156758267
30555,159133.28735,101352.945918057,150416.1023058392,0.36309399745422277,0.054779142625188855
30574,159917.64649999997,102813.28990641094,156909.31651200648,0.3570860242342864,0.018811745006474277
30599,160882.02357000002,101860.6729952849,153184.18617398952,0.3668610654255902,0.04784771614127015
30607,161190.19753,102117.06705524343,153821.03168190466,0.36648091124624466,0.04571720837257385
30614,161273.20365,102821.2580092615,153323.8290909173,0.36244053145736904,0.04929135392098166
