start,policy,cost,energy,demand,chg_steps,dis_steps,chg_steps_paid,dis_steps_paid,n_windows_paid,reward_med,reward_std,reward_min,mean_r_chg,mean_r_dis,max_demand_zar,paid_on_pairclose_frac
18365,b0,79530.26762733047,79530.26762733047,0.0,,,,,,,,,,,,
18365,random,106097.34769309686,106097.34769309686,0.0,308.0,330.0,0.0,0.0,0.0,-1.5245235830989503,0.8732436602346286,-5.661452227897872,-1.8771021587501278,-1.4286458005593956,0.0,0.0
18373,naive_chg,87307.1789910893,87307.1789910893,0.0,,,,,,,,,,,,
18373,b0,79571.44349784321,79571.44349784321,0.0,,,,,,,,,,,,
18373,random,108180.60451815202,108180.60451815202,0.0,330.0,301.0,0.0,0.0,0.0,-1.5373414814524842,0.8540646728274729,-5.6875591316644405,-1.889608186944132,-1.5202833535569276,0.0,0.0
18396,naive_chg,87876.53264000008,87876.53264000008,0.0,,,,,,,,,,,,
18396,b0,80229.74487008828,80229.74487008828,0.0,,,,,,,,,,,,
18396,random,107917.01217689094,107917.01217689094,0.0,321.0,330.0,0.0,0.0,0.0,-1.5151182898899447,0.8433045116312741,-5.359433094092548,-1.8737940146522558,-1.5050699899628623,0.0,0.0
18406,naive_chg,88825.35274509291,88825.35274509291,0.0,,,,,,,,,,,,
18406,b0,81150.36645753794,81150.36645753794,0.0,,,,,,,,,,,,
18406,random,109765.07260098861,109765.07260098861,0.0,329.0,313.0,0.0,0.0,0.0,-1.5383945311585259,0.8031705986930852,-6.247383276492428,-1.8754589559073538,-1.559156239415325,0.0,0.0
18412,naive_chg,88612.7074400001,88612.7074400001,0.0,,,,,,,,,,,,
18412,b0,80946.31880566079,80946.31880566079,0.0,,,,,,,,,,,,
18412,random,108074.89196301975,108074.89196301975,0.0,307.0,333.0,0.0,0.0,0.0,-1.5108779240459551,0.8523036866736637,-5.653370254799992,-1.901463221369333,-1.5026489883043261,0.0,0.0
18413,naive_chg,88257.15635000009,88257.15635000009,0.0,,,,,,,,,,,,
18413,b0,80696.79984008324,80696.79984008324,0.0,,,,,,,,,,,,
18413,random,108988.8492190247,108988.8492190247,0.0,334.0,307.0,0.0,0.0,0.0,-1.5331421404399252,0.8229240836428098,-5.79566012510719,-1.8806899447769285,-1.5511248708519016,0.0,0.0
18415,naive_chg,88665.16434000009,88665.16434000009,0.0,,,,,,,,,,,,
18415,b0,81076.02426416181,81076.02426416181,0.0,,,,,,,,,,,,
18415,random,108258.27707455867,108258.27707455867,0.0,317.0,332.0,0.0,0.0,0.0,-1.540540678064305,0.8263374877136577,-6.327952543651492,-1.8737138450851332,-1.5199290011799247,0.0,0.0
18427,naive_chg,88720.64418000005,88720.64418000005,0.0,,,,,,,,,,,,
18427,b0,81159.74928036112,81159.74928036112,0.0,,,,,,,,,,,,
18427,random,105236.48672043825,105236.48672043825,0.0,309.0,334.0,0.0,0.0,0.0,-1.5049501351039791,0.7931276654140261,-5.714183553656933,-1.8345621678534667,-1.4592080138865047,0.0,0.0
18446,naive_chg,88016.65480000006,88016.65480000006,0.0,,,,,,,,,,,,
18446,b0,81031.28276309498,81031.28276309498,0.0,,,,,,,,,,,,
18446,random,107311.27476178325,107311.27476178325,0.0,300.0,343.0,0.0,0.0,0.0,-1.4814954112764789,0.826269078170124,-5.189717886813138,-1.8391612966586361,-1.5512305046384478,0.0,0.0
18447,naive_chg,87698.80155000008,87698.80155000008,0.0,,,,,,,,,,,,
18447,b0,80393.50045750018,80393.50045750018,0.0,,,,,,,,,,,,
18447,random,109567.43312042527,109567.43312042527,0.0,327.0,318.0,0.0,0.0,0.0,-1.5177557662675922,0.876785986233194,-5.424269045158383,-1.8895073535561404,-1.5384967649590013,0.0,0.0
18450,naive_chg,87693.95771891848,87693.95771891848,0.0,,,,,,,,,,,,
18450,b0,80486.41519958437,80486.41519958437,0.0,,,,,,,,,,,,
18450,random,106495.66567799408,106495.66567799408,0.0,315.0,324.0,0.0,0.0,0.0,-1.5054451629526862,0.8177201459970721,-6.039454000578488,-1.8320394727657934,-1.5206250048257646,0.0,0.0
18454,naive_chg,87517.22005758609,87517.22005758609,0.0,,,,,,,,,,,,
18454,b0,80297.6231081673,80297.6231081673,0.0,,,,,,,,,,,,
